Days passed,VET,VeChain Thor,APY
0,18233.9,202399,0
1,18240.7,202437,0.0955653938996325
2,18074.7,204470,0.0977724467572715
3,18175.5,203621,0.1655443571599424
4,18384.8,201399,0.14450308704002435
5,18088.500535908242,204729.87558696198,0.11532200984166163
